Printer,Texture,Test_Type,Comparison,Raw_Avg_Distance,Std_Deviation
R,4,T,4 vs 3,0.00016620,0.00011287
R,4,T,4 vs 5,0.00021624,0.00010972
R,4,T,5 vs 1,0.00019403,0.00012172
R,4,T,5 vs 2,0.00020660,0.00011333
R,4,T,5 vs 3,0.00021484,0.00012004
R,4,T,5 vs 4,0.00021227,0.00011111
R,2,T,1 vs 2,0.00017499,0.00011179
R,2,T,1 vs 3,0.00016741,0.00008612
R,2,T,1 vs 4,0.00055447,0.00031686
R,2,T,1 vs 5,0.00019495,0.00011569
R,2,T,2 vs 1,0.00018951,0.00010163
R,2,T,2 vs 3,0.00019482,0.00009780
R,2,T,2 vs 4,0.00017520,0.00011631
R,2,T,2 vs 5,0.00016963,0.00010818
R,2,T,3 vs 1,0.00014891,0.00010234
R,2,T,3 vs 2,0.00015775,0.00010278
R,2,T,3 vs 4,0.00016582,0.00010534
R,2,T,3 vs 5,0.00016932,0.00011520
R,2,T,4 vs 1,0.00019378,0.00012051
R,2,T,4 vs 2,0.00019215,0.00013914
R,2,T,4 vs 3,0.00019615,0.00011555
R,2,T,4 vs 5,0.00021076,0.00012760
R,2,T,5 vs 1,0.00019294,0.00010269
R,2,T,5 vs 2,0.00021834,0.00012152
R,2,T,5 vs 3,0.00016079,0.00010264
R,2,T,5 vs 4,0.00017657,0.00011598
R,6,T,1 vs 2,0.00017059,0.00009755
R,6,T,1 vs 3,0.00016468,0.00011145
R,6,T,1 vs 4,0.00017411,0.00007447
R,6,T,1 vs 5,0.00014715,0.00009318
R,6,T,2 vs 1,0.00018065,0.00010604
R,6,T,2 vs 3,0.00014878,0.00011159
R,6,T,2 vs 4,0.00014084,0.00012443
R,6,T,2 vs 5,0.00016247,0.00011091
R,6,T,3 vs 1,0.00017317,0.00010196
R,6,T,3 vs 2,0.00014064,0.00010658
R,6,T,3 vs 4,0.00014702,0.00010985
R,6,T,3 vs 5,0.00017230,0.00010548
R,6,T,4 vs 1,0.00016890,0.00008983
R,6,T,4 vs 2,0.00014921,0.00011964
R,6,T,4 vs 3,0.00016098,0.00011088
R,6,T,4 vs 5,0.00016844,0.00008753
R,6,T,5 vs 1,0.00014065,0.00009470
R,6,T,5 vs 2,0.00017895,0.00009817
R,6,T,5 vs 3,0.00016428,0.00012431
R,6,T,5 vs 4,0.00015922,0.00008939
R,1,T,1 vs 2,0.00019538,0.00013408
R,1,T,1 vs 3,0.00020754,0.00016577
R,1,T,1 vs 4,0.00016175,0.00013645
R,1,T,1 vs 5,0.00020615,0.00013758
R,1,T,2 vs 1,0.00020432,0.00012247
R,1,T,2 vs 3,0.00019731,0.00012854
R,1,T,2 vs 4,0.00019585,0.00012415
R,1,T,2 vs 5,0.00019808,0.00012541
R,1,T,3 vs 1,0.00019916,0.00013233
R,1,T,3 vs 2,0.00018175,0.00013576
R,1,T,3 vs 4,0.00019773,0.00014010
R,1,T,3 vs 5,0.00016727,0.00012462
R,1,T,4 vs 1,0.00016752,0.00012236
R,1,T,4 vs 2,0.00021935,0.00013702
R,1,T,4 vs 3,0.00036488,0.00027396
R,1,T,4 vs 5,0.00019480,0.00013794
R,1,T,5 vs 1,0.00021575,0.00014980
R,1,T,5 vs 2,0.00018419,0.00010522
R,1,T,5 vs 3,0.00015204,0.00012452
R,1,T,5 vs 4,0.00018675,0.00013186
R,5,T,1 vs 2,0.00024160,0.00016996
R,5,T,1 vs 3,0.00022909,0.00014997
R,5,T,1 vs 4,0.00022887,0.00013938
R,5,T,1 vs 5,0.00022065,0.00013326
R,5,T,2 vs 1,0.00023480,0.00017241
R,5,T,2 vs 3,0.00025662,0.00017081
R,5,T,2 vs 4,0.00021934,0.00017846
R,5,T,2 vs 5,0.00023315,0.00016721
R,5,T,3 vs 1,0.00022672,0.00015895
R,5,T,3 vs 2,0.00028770,0.00020325
R,5,T,3 vs 4,0.00022686,0.00016121
R,5,T,3 vs 5,0.00020336,0.00014651
R,5,T,4 vs 1,0.00021668,0.00014963
R,5,T,4 vs 2,0.00022998,0.00016586
R,5,T,4 vs 3,0.00024625,0.00016049
R,5,T,4 vs 5,0.00019427,0.00012686
R,5,T,5 vs 1,0.00021876,0.00013606
R,5,T,5 vs 2,0.00025171,0.00015970
R,5,T,5 vs 3,0.00021019,0.00013493
R,5,T,5 vs 4,0.00018543,0.00013271
R,3,T,1 vs 2,0.00017025,0.00011837
R,3,T,1 vs 3,0.00019542,0.00011123
R,3,T,1 vs 4,0.00019281,0.00012834
R,3,T,1 vs 5,0.00018828,0.00011923
R,3,T,2 vs 1,0.00018889,0.00012946
R,3,T,2 vs 3,0.00018688,0.00012085
R,3,T,2 vs 4,0.00017054,0.00011816
R,3,T,2 vs 5,0.00016405,0.00011522
